name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york state,2021-01-01,1.1,-2.2,0,0.3,-5.4,-3.5,-3.9,75.3,4.887,100,29.17,"rain,snow",6,3.7,31.7,20.6,84.8,1024.7,88.5,13.5,29.6,2.6,2,,2021-01-01T07:46:13,2021-01-01T16:51:52,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-02,1.6,0.6,1,1.1,-4.3,-2,-1.2,85.8,14.271,100,41.67,"rain,snow",0,4.6,,22.6,303.1,1014.6,98.8,12.7,25.5,2.1,1,,2021-01-02T07:46:15,2021-01-02T16:52:46,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-03,2.7,-0.1,1.1,1,-4.2,-2,-1.4,83.6,0.617,100,16.67,"rain,snow",0,3.1,,17.7,85.7,1015.1,99.4,14.8,14.3,1.3,1,,2021-01-03T07:46:15,2021-01-03T16:53:42,0.6,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-04,2.1,0.6,1.3,2.1,-1.8,0.4,-1.4,82.5,0,0,0,,0,2.8,,9.1,355.9,1016.4,100,14.7,19.4,1.7,1,,2021-01-04T07:46:13,2021-01-04T16:54:39,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-05,2.8,0.6,1.3,2.1,-2.6,-0.5,-1.3,82.7,0.002,100,4.17,"rain,snow",0,2.1,,12.9,45.6,1015.7,100,13.6,24.4,2.1,1,,2021-01-05T07:46:08,2021-01-05T16:55:38,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-06,1,-0.1,0.5,-2,-4.7,-3,-3.1,77.2,0.026,100,4.17,"rain,snow",0,1.8,,19.5,321.9,1023,98.8,15.4,22.6,1.9,1,,2021-01-06T07:46:01,2021-01-06T16:56:39,0.76,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-07,0.6,-2.5,-0.9,-1.7,-5.3,-4,-5,73.8,0,0,0,,0,1.1,,14.9,347,1026,95.1,16,22.8,1.9,1,,2021-01-07T07:45:52,2021-01-07T16:57:41,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-08,-2.2,-6.3,-3.7,-2.6,-9.6,-6.3,-6.4,81.6,0,0,0,,0,1,,13.1,30.9,1022.1,80,15.9,21.1,1.7,1,,2021-01-08T07:45:40,2021-01-08T16:58:44,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-09,3.2,-7.2,-2.4,-0.4,-11,-4.4,-7.9,68.3,0,0,0,,0,1,,15,288.8,1021.5,61.3,16,86.4,7.4,4,,2021-01-09T07:45:25,2021-01-09T16:59:49,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-10,0.5,-3.3,-1.1,-1,-5.9,-4.2,-4.3,79.3,0,0,0,,0,1,31.7,23.5,247.6,1025.9,84.7,16,47.2,4.2,3,,2021-01-10T07:45:08,2021-01-10T17:00:54,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-11,3.6,-3,0,-0.7,-6,-3.5,-3.3,79.2,0.344,100,16.67,"rain,snow",0,0.8,46.1,28.1,230.4,1023.1,82.8,13.5,62.6,5.4,4,,2021-01-11T07:44:49,2021-01-11T17:02:02,0.99,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
new york state,2021-01-12,0.5,-1.6,-1,-4.7,-8.3,-6.1,-4,80.5,2.264,100,29.17,"rain,snow",0.6,0.3,42.2,27.4,233.9,1019.9,100,9,7.3,0.6,0,,2021-01-12T07:44:28,2021-01-12T17:03:10,1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,F7692,KBUF,D2713"
new york state,2021-01-13,3.2,-0.7,0.9,-0.9,-6.4,-4,-2.3,79.2,0.271,100,8.33,"rain,snow",0.4,0.7,41.3,30.7,209.3,1012.1,85.1,12.7,46.2,4.1,3,,2021-01-13T07:44:04,2021-01-13T17:04:19,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,F7692,KBUF,D2713"
new york state,2021-01-14,4.2,2.7,3.4,1.5,-0.8,0.5,0.4,80.9,0,0,0,,0,0.1,,21.2,223.9,1008.7,98.9,11.7,24.8,2.2,1,,2021-01-14T07:43:38,2021-01-14T17:05:30,0.01,Overcast,Cloudy skies throughout the day.,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-01-15,6.1,1.6,3.8,3.1,-2.6,0.2,-0.2,75.6,1.889,100,25,rain,0,0,37.1,21.6,114.1,1006.7,90,14,32.8,2.9,2,,2021-01-15T07:43:09,2021-01-15T17:06:41,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
